Fiscal-Year-Année-Fiscale,Survey-participant_Participant-de-sondage,Question-number_Numéro-question,Question-ENG,Response_Réponse-ENG,Question-FRA,Response_Réponse-FRA
2024-2025,2024-2025-00001,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).","Agree somewhat","Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","Plutôt d'accord"
2024-2025,2024-2025-00001,"A1 b)","PSPC Procurement Officers answered my questions","Not applicable","Les agents d'approvisionnement de SPAC ont répondu à mes questions.","Sans objet"
2024-2025,2024-2025-00001,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process","Agree somewhat","Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.","Plutôt d'accord"
2024-2025,2024-2025-00001,"A2 a)","I understood the steps in the PSPC procurement process","Agree somewhat","J'ai compris les étapes du processus d'approvisionnement de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00001,"A2 b)","I understood the statement of work in the PSPC solicitation documents","Agree somewhat","J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00001,"A2 c)","I understood the PSPC criteria to evaluate the bids","Agree somewhat","J'ai compris les critères de SPAC pour évaluer les soumissions.","Plutôt d'accord"
2024-2025,2024-2025-00001,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents","Agree somewhat","Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00001,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid","Disagree somewhat","Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.","Plutôt en désaccord"
2024-2025,2024-2025-00001,"A3 c)","The solicitation documents were designed to ensure bidders were treated equally","Disagree somewhat","Les documents d'invitation à soumissionner ont été conçus pour garantir l'égalité de traitement des soumissionnaires.","Plutôt en désaccord"
2024-2025,2024-2025-00001,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents","Agree somewhat","La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.","Plutôt d'accord"
2024-2025,2024-2025-00001,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents","Not applicable","J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.","Sans objet"
2024-2025,2024-2025-00001,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process","Disagree somewhat","Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.","Plutôt en désaccord"
2024-2025,2024-2025-00002,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).","Disagree somewhat","Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","Plutôt en désaccord"
2024-2025,2024-2025-00002,"A1 b)","PSPC Procurement Officers answered my questions","Agree somewhat","Les agents d'approvisionnement de SPAC ont répondu à mes questions.","Plutôt d'accord"
2024-2025,2024-2025-00002,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process","Disagree somewhat","Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.","Plutôt en désaccord"
2024-2025,2024-2025-00002,"A2 a)","I understood the steps in the PSPC procurement process","Agree somewhat","J'ai compris les étapes du processus d'approvisionnement de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00002,"A2 b)","I understood the statement of work in the PSPC solicitation documents","Agree somewhat","J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00002,"A2 c)","I understood the PSPC criteria to evaluate the bids","Disagree somewhat","J'ai compris les critères de SPAC pour évaluer les soumissions.","Plutôt en désaccord"
2024-2025,2024-2025-00002,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents",Agree,"Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00002,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid","Agree somewhat","Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.","Plutôt d'accord"
2024-2025,2024-2025-00002,"A3 c)","The solicitation documents were designed to ensure bidders were treated equally",Agree,"Les documents d'invitation à soumissionner ont été conçus pour garantir l'égalité de traitement des soumissionnaires.",D'accord
2024-2025,2024-2025-00002,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents","Agree somewhat","La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.","Plutôt d'accord"
2024-2025,2024-2025-00002,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents","Agree somewhat","J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.","Plutôt d'accord"
2024-2025,2024-2025-00002,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process","Disagree somewhat","Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.","Plutôt en désaccord"
2024-2025,2024-2025-00003,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).",Disagree,"Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","En désaccord"
2024-2025,2024-2025-00003,"A1 b)","PSPC Procurement Officers answered my questions","Not applicable","Les agents d'approvisionnement de SPAC ont répondu à mes questions.","Sans objet"
2024-2025,2024-2025-00003,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process",Disagree,"Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.","En désaccord"
2024-2025,2024-2025-00003,"A2 a)","I understood the steps in the PSPC procurement process",Disagree,"J'ai compris les étapes du processus d'approvisionnement de SPAC.","En désaccord"
2024-2025,2024-2025-00003,"A2 b)","I understood the statement of work in the PSPC solicitation documents",Disagree,"J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.","En désaccord"
2024-2025,2024-2025-00003,"A2 c)","I understood the PSPC criteria to evaluate the bids",Disagree,"J'ai compris les critères de SPAC pour évaluer les soumissions.","En désaccord"
2024-2025,2024-2025-00003,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents","Not applicable","Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.","Sans objet"
2024-2025,2024-2025-00003,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid",Disagree,"Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.","En désaccord"
2024-2025,2024-2025-00003,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents","Not applicable","La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.","Sans objet"
2024-2025,2024-2025-00003,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents","Not applicable","J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.","Sans objet"
2024-2025,2024-2025-00003,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process","Not applicable","Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.","Sans objet"
2024-2025,2024-2025-00004,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).","Disagree somewhat","Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","Plutôt en désaccord"
2024-2025,2024-2025-00004,"A1 b)","PSPC Procurement Officers answered my questions","Agree somewhat","Les agents d'approvisionnement de SPAC ont répondu à mes questions.","Plutôt d'accord"
2024-2025,2024-2025-00004,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process","Agree somewhat","Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.","Plutôt d'accord"
2024-2025,2024-2025-00004,"A2 a)","I understood the steps in the PSPC procurement process",Agree,"J'ai compris les étapes du processus d'approvisionnement de SPAC.",D'accord
2024-2025,2024-2025-00004,"A2 b)","I understood the statement of work in the PSPC solicitation documents",Agree,"J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00004,"A2 c)","I understood the PSPC criteria to evaluate the bids",Agree,"J'ai compris les critères de SPAC pour évaluer les soumissions.",D'accord
2024-2025,2024-2025-00004,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents",Agree,"Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00004,"A3 b)","I am aware of the recourse mechanisms that are available to resolve any issues related to my bid",Agree,"Je suis au courant des mécanismes de recours qui sont disponibles pour résoudre les problèmes liés à ma soumission.",D'accord
2024-2025,2024-2025-00004,"A3 c)","The solicitation documents were designed to ensure bidders were treated equally",Agree,"Les documents d'invitation à soumissionner ont été conçus pour garantir l'égalité de traitement des soumissionnaires.",D'accord
2024-2025,2024-2025-00004,"A4 a)","The method of selecting the winning bid was clearly set out in the solicitation documents",Agree,"La méthode de sélection de l'offre gagnante était clairement exposée dans les documents d'invitation à soumissionner.",D'accord
2024-2025,2024-2025-00004,"A4 b)","I found the contract liabilities to be articulated and defined in the PSPC solicitation documents",Agree,"J'ai trouvé que les responsabilités contractuelles étaient définies dans les documents d'invitation à soumissionner de SPAC.",D'accord
2024-2025,2024-2025-00004,"A4 c)","The process for managing vendor performance in terms of the termination of a contract was clear at the start of the procurement process",Agree,"Le processus de gestion du rendement du fournisseur par rapport à la résiliation du contrat était clair dès le début du processus d'approvisionnement.",D'accord
2024-2025,2024-2025-00005,"A1 a)","It was easy to find PSPC procurement opportunities using CanadaBuys (CanadaBuys.canada.ca).","Not applicable","Il a été facile de trouver des occasions de marchés publics de SPAC en utilisant AchatsCanada (achatscanada.canada.ca).","Sans objet"
2024-2025,2024-2025-00005,"A1 b)","PSPC Procurement Officers answered my questions","Not applicable","Les agents d'approvisionnement de SPAC ont répondu à mes questions.","Sans objet"
2024-2025,2024-2025-00005,"A1 c)","It was easy to obtain instructions on how to participate in the procurement process","Not applicable","Il a été facile d'obtenir des instructions sur la façon de participer au processus d'approvisionnement.","Sans objet"
2024-2025,2024-2025-00005,"A2 a)","I understood the steps in the PSPC procurement process","Not applicable","J'ai compris les étapes du processus d'approvisionnement de SPAC.","Sans objet"
2024-2025,2024-2025-00005,"A2 b)","I understood the statement of work in the PSPC solicitation documents","Not applicable","J'ai compris l'énoncé des travaux dans les documents d'invitation à soumissionner de SPAC.","Sans objet"
2024-2025,2024-2025-00005,"A2 c)","I understood the PSPC criteria to evaluate the bids","Not applicable","J'ai compris les critères de SPAC pour évaluer les soumissions.","Sans objet"
2024-2025,2024-2025-00005,"A3 a)","My bid was evaluated as specified in the PSPC solicitation documents","Not applicable","Ma soumission a été évaluée comme indiqué dans les documents d'invitation à soumissionner de SPAC.","Sans objet"
