sosa-description_en,sosa-description_fr,commodity-description_en,commodity-description_fr,commodity,supplier-standardized-name,supplier-legal-name,supplier-operating-name,end-user-entity_en,end-user-entity_fr,award-date,expiry-date,delivery-point-code,delivery-point_en,delivery-point_fr,agreement-type_en,agreement-type_fr,agreement-number,date-file-published
"OFFICE SEATING (Furniture) E60PQ-120001/102/PQ","FAUTEUILS DE BUREAU (Mobiliers) E60PQ-120001/102/PQ","Office furniture","Mobilier de bureau",56101700,"MCCRUMS DIRECT SALES LTD","McCrums Direct Sales Ltd",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-04-03,2029-04-30,CA,Canada,Canada,SA,AMA,CW2221963-ACM_142676588,"2026-03-12 22:50:02"
"Office Seating SA_Covey Office Group_E60PQ-120001/095/PQ","AMA Fauteuils de bureau_Covey Office Group_E60PQ-120001/095/PQ","Office furniture","Mobilier de bureau",56101700,"COVEY OFFICE GROUP INC","Covey Office Group Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2023-04-07,2026-04-14,CA,Canada,Canada,SA,AMA,CW2221963-ACM_147211953,"2026-03-12 22:50:02"
"Office Seating SA_Donna Cona_E60PQ-120001/096/PQ","AMA Fauteuils de bureau_Donna Cona_E60PQ-120001/096/PQ","Office furniture","Mobilier de bureau",56101700,"DONNA CONA INC","Donna Cona Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2023-04-07,2026-04-13,CA,Canada,Canada,SA,AMA,CW2221963-ACM_161367803,"2026-03-12 22:50:02"
"Office Seating SA_Brezach Solutions_E60PQ-120001/094/PQ","AMA Fauteuils de bureau_Brezach Solutions_E60PQ-120001/094/PQ","Office furniture","Mobilier de bureau",56101700,"BREZACH SOLUTIONS INCORPORATED","Brezach Solutions Incorporated",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2023-04-07,2026-04-14,CA,Canada,Canada,SA,AMA,CW2221963-ACM_165760763,"2026-03-12 22:50:02"
"OFFICE SEATING (Furniture) E60PQ-120001/103/PQ","FAUTEUILS DE BUREAU (Mobiliers) E60PQ-120001/103/PQ","Office furniture","Mobilier de bureau",56101700,"TRIUM MOBILIER DE BUREAU INC","TRIUM MOBILIER DE BUREAU INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-04-03,2029-04-30,CA,Canada,Canada,SA,AMA,CW2221963-ACM_168306040,"2026-03-12 22:50:02"
"OFFICE SEATING (Furniture) E60PQ-120001/101/PQ","FAUTEUILS DE BUREAU (Mobiliers) E60PQ-120001/101/PQ","Office furniture","Mobilier de bureau",56101700,"HOLMES AND BRAKEL","Holmes and Brakel",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-01-12,2029-04-14,CA,Canada,Canada,SA,AMA,CW2221963-ACM_175943568,"2026-03-12 22:50:02"
"Construction Rental Equipment","Matériel de location de construction","Construction machinery and equipment rental or leasing services","Services de location et de crédit-bail de machinerie et de matériel de construction",72141700,"BATTLEFIELD EQUIPMENT RENTALS","Battlefield Equipment Rentals",,"Correctional Service of Canada","Service correctionnel du Canada",2022-03-29,2027-03-28,CA-NB,"New Brunswick",Nouveau-Brunswick,NISO,OCIN,CW2223174-ACM_161242197,"2026-03-12 22:50:02"
"Construction Rental Equipment","Matériel de location de construction","Construction machinery and equipment rental or leasing services","Services de location et de crédit-bail de machinerie et de matériel de construction",72141700,"BATTLEFIELD EQUIPMENT RENTALS","Battlefield Equipment Rentals",,"Correctional Service of Canada","Service correctionnel du Canada",2022-03-29,2027-03-28,CA-NS,"Nova Scotia",Nouvelle-Écosse,NISO,OCIN,CW2223174-ACM_161242197,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: INJURY PREVENTION PLUS (E60ZH-190000/024/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : INJURY PREVENTION PLUS (E60ZH-190000/024/ZH).","Comprehensive health services","Services de santé complets",85100000,"INJURY PREVENTION PLUS","INJURY PREVENTION PLUS",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2020-02-11,2026-06-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2231270-ACM_150539310,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: CBI WORKPLACE SOLUTIONS (E60ZH-190000/002/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : CBI WORKPLACE SOLUTIONS (E60ZH-190000/002/ZH).","Comprehensive health services","Services de santé complets",85100000,"CBI WORKPLACE SOLUTIONS LIMITED PARTNERSHIP","CBI Workplace Solutions Limited Partnership",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA,Canada,Canada,NMSO,OCPN,CW2231276-ACM_146985936,"2026-03-12 22:50:02"
